Id,PC1,PC2,PC3,label
GLY40_M13_O1_1006,-34.51726736,9.600901243,-10.56105851,GLY40
GLY30_M71_O1_1005,-37.81385456,-6.084301117,-8.761157293,GLY30
AGUA_M60_O1_0928,-56.71553424,-40.29587521,16.22030426,WATER
GLY40_M4_O1_1006,-35.61825428,8.390424741,-10.29270693,GLY40
GLY80_M2_O1_1018,78.43189377,16.68322889,4.466564467,GLY80
GLY40_M65_O1_1007,-31.5786721,10.27806965,-12.30449655,GLY40
AGUA_M48_O1_0928,-50.71900041,-37.750108,10.801294,WATER
GLY60_M7_O1_1013,0.570956429,33.8957372,-1.903673626,GLY60
GLY80_M65_O1_1025,79.71603867,16.55350506,2.563952172,GLY80
GLY20_M4_O1_0930,-48.29980565,-19.24521511,0.83684597,GLY20
GLY40_M93_O1_1007,-34.03168723,10.14505679,-11.12458513,GLY40
GLY10_M65_O1_0930,-36.87221394,-27.72601572,-3.190711387,GLY10
GLY40_M14_O1_1006,-36.18520123,8.761705893,-9.708682766,GLY40
GLY30_M61_O1_1005,-42.51622896,-5.655208825,-7.090854525,GLY30
GLY50_M74_O1_1013,-33.54811105,28.37620845,-1.020857366,GLY50
GLY20_M20_O1_0930,-44.49276465,-15.65081362,-2.271729743,GLY20
GLY10_M53_O1_0930,-40.27092463,-29.08548089,-0.910383369,GLY10
GLY80_M14_O1_1018,74.8251514,17.14766317,3.436326209,GLY80
AIRE_M41_O1_1004,174.7648943,-36.44387138,-3.285642725,AIR
GLY70_M99_O1_1018,28.92300491,32.86583772,6.869538238,GLY70
GLY30_M63_O1_1005,-40.33783975,-5.304350701,-8.063100322,GLY30
GLY20_M88_O1_1004,-41.81201986,-19.58304078,-3.074395022,GLY20
GLY20_M57_O1_1003,-38.95288747,-18.53568742,-5.099441744,GLY20
AIRE_M34_O1_1003,171.0913018,-35.0423368,-1.849365099,AIR
GLY60_M15_O1_1013,1.86186854,33.72490503,-2.49248277,GLY60
AGUA_M31_O1_0928,-47.80098176,-38.54794922,9.217598635,WATER
GLY50_M56_O1_1010,-22.97762252,23.47399628,-6.014517211,GLY50
GLY30_M7_O1_1004,-38.22146194,-6.274144641,-7.504081624,GLY30
GLY80_M76_O1_1025,77.77726415,17.55046293,3.680313687,GLY80
GLY70_M19_O1_1017,45.72565599,25.79442209,0.161295351,GLY70
GLY50_M80_O1_1013,-22.89157832,27.958288,-5.391448965,GLY50
GLY70_M73_O1_1018,40.80692239,26.95612799,2.310042026,GLY70
AGUA_M14_O1_0928,-52.57480764,-37.05974428,12.59679273,WATER
GLY20_M58_O1_1003,-33.22602745,-14.05573577,-9.109358606,GLY20
GLY20_M32_O1_1003,-37.30353873,-16.66662796,-6.889322311,GLY20
AIRE_M46_O1_1004,173.4499768,-36.28461792,-3.608142676,AIR
GLY60_M33_O1_1014,-10.25209554,33.10600322,-0.313460822,GLY60
GLY80_M58_O1_1021,83.1826667,14.12056429,0.664981932,GLY80
AGUA_M23_O1_0928,-44.19697261,-36.90721573,6.128330904,WATER
GLY50_M25_O1_1010,-25.41352984,19.64369849,-7.313248642,GLY50
GLY70_M64_O1_1017,42.21034531,26.66273132,0.61029109,GLY70
GLY40_M33_O1_1006,-36.02154336,7.752882347,-10.6219432,GLY40
GLY20_M56_O1_1003,-45.18647322,-19.0476823,-0.741422498,GLY20
GLY50_M68_O1_1010,-21.51259506,24.43394252,-6.400253679,GLY50
AGUA_M11_O1_0928,-52.54656029,-36.65659421,12.16855657,WATER
GLY80_M25_O1_1018,79.9007738,15.74129146,3.14365383,GLY80
GLY60_M67_O1_1014,-3.7743951,34.31896718,0.20083895,GLY60
AGUA_M53_O1_0928,-52.40070069,-37.73305554,11.87083602,WATER
GLY60_M69_O1_1014,-4.193490398,34.10992003,-0.462374184,GLY60
GLY30_M94_O1_1005,-36.07360648,-5.763343963,-9.431565592,GLY30
GLY20_M39_O1_1003,-36.66272676,-15.21215382,-6.801435733,GLY20
AGUA_M65_O1_0929,-42.54764905,-38.27226194,2.377314751,WATER
GLY20_M63_O1_1004,-34.77979194,-18.15648857,-7.805768189,GLY20
GLY60_M52_O1_1014,-8.1943057,34.32917621,0.76144182,GLY60
GLY10_M40_O1_0930,-41.98731047,-28.80421643,-0.749913367,GLY10
GLY70_M49_O1_1017,48.24030953,25.94697513,0.262815533,GLY70
AIRE_M43_O1_1004,173.3425956,-38.22910758,-3.608494172,AIR
GLY30_M78_O1_1005,-38.45391194,-5.7641829,-8.279686189,GLY30
