,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Label,Set
AIR_M5R4_O1_0212,-11.283878110551694,12.109469195183602,6.545852225830786,-2.8472564246200305,-3.519472026977365,-2.356012997241896,7.299549622370811,AIR,TRAIN
AIR_M5R5_O1_0212,-15.912566275122538,-0.2585860927411675,-3.7854849095755787,6.033300815475627,-4.288281620606759,-0.40485702766474235,7.904696456942059,AIR,TRAIN
AIR_M6R0_O1_0212,15.511492609422682,-3.47473545324906,0.03161837384073976,0.4411889156571333,-7.510852477290013,2.0999540238939183,8.47288700044073,AIR,TRAIN
AIR_M6R1_O1_0212,12.087429238594675,10.592872660353612,-2.743812495659859,4.577943961051965,5.295970293655274,2.7224061649350686,7.625135399019262,AIR,TRAIN
AIR_M6R2_O1_0212,9.859215088211787,12.608718369767876,-3.363527084903878,2.616269824066245,6.768181563790505,1.3193931045737828,7.31411986471888,AIR,TRAIN
AIR_M6R3_O1_0212,14.671667955637373,6.899932878649256,-1.2500500360622895,6.058413352110945,1.475185126080917,4.469597241952923,7.899018264717506,AIR,TRAIN
AIR_M6R4_O1_0212,14.588088344890087,7.188367561189291,-1.2205142791235495,6.008028245916939,1.7017533087654522,4.2316554152539565,7.7312883983236915,AIR,TRAIN
AIR_M6R5_O1_0212,-3.052192767127207,15.99483813318687,1.4989171082889725,-7.473633171443883,3.754579674199019,-1.3909785035961477,7.207484565989234,AIR,TRAIN
AIR_M7R0_O1_0712,15.295967972914804,5.987147113318999,-1.0558467085373626,6.057099087012788,0.3824045991734849,4.894026075208285,8.26420405621512,AIR,TRAIN
AIR_M7R1_O1_0712,10.97443859533275,11.971899515126742,-3.272712767962998,3.5358939406823,6.396211292181293,1.9520944253325916,7.674494743768186,AIR,TRAIN
AIR_M7R2_O1_0712,-16.049336633108606,-0.6987526838380769,-4.2859892432327635,5.992795237752388,-4.218607104646306,-0.006810818652552509,8.106955349550127,AIR,TRAIN
AIR_M7R3_O1_0712,-16.03892858559403,-1.1683698726749236,-4.572941660252906,6.026240274689182,-3.8731065848267527,0.38543420795344485,8.135205417369887,AIR,TRAIN
AIR_M7R4_O1_0712,-14.921173092433717,6.928731426405364,3.5943805665500177,3.585671140766893,-5.956599860850962,-2.8403853468282185,7.702375416023221,AIR,TRAIN
AIR_M7R5_O1_0712,-15.973299406825804,-0.5225180774769675,-3.9705521311948626,6.117690819604278,-4.372223641280024,-0.025667559447464044,8.226505525361475,AIR,TRAIN
AIR_M8R0_O1_0712,-15.458065302241828,-2.5248795206150407,-5.279019654150843,5.722561438460313,-3.0563279086859065,1.5559511013467895,8.07611482152408,AIR,TRAIN
